14 11 1
spruce_stairs[half=top,waterlogged=false,shape=straight,facing=east,]                     spruce_stairs[half=bottom,waterlogged=false,shape=straight,facing=west,]                  spruce_slab[waterlogged=false,type=bottom,]                                               spruce_slab[waterlogged=false,type=bottom,]                                               spruce_slab[waterlogged=false,type=bottom,]                                               spruce_slab[waterlogged=false,type=bottom,]                                               spruce_slab[waterlogged=false,type=bottom,]                                               spruce_slab[waterlogged=false,type=bottom,]                                               spruce_slab[waterlogged=false,type=bottom,]                                               spruce_slab[waterlogged=false,type=bottom,]                                               spruce_slab[waterlogged=false,type=bottom,]                                               spruce_slab[waterlogged=false,type=bottom,]                                               spruce_stairs[half=bottom,waterlogged=false,shape=straight,facing=east,]                  spruce_stairs[half=top,waterlogged=false,shape=straight,facing=west,]                     

air[]                                                                                     red_concrete[]                                                                            red_concrete[]                                                                            red_concrete[]                                                                            red_concrete[]                                                                            red_concrete[]                                                                            red_concrete[]                                                                            red_concrete[]                                                                            red_concrete[]                                                                            red_concrete[]                                                                            red_concrete[]                                                                            red_concrete[]                                                                            red_concrete[]                                                                            air[]                                                                                     

air[]                                                                                     air[]                                                                                     air[]                                                                                     red_concrete[]                                                                            air[]                                                                                     air[]                                                                                     air[]                                                                                     air[]                                                                                     air[]                                                                                     air[]                                                                                     red_concrete[]                                                                            air[]                                                                                     air[]                                                                                     air[]                                                                                     

air[]                                                                                     air[]                                                                                     red_concrete[]                                                                            red_concrete[]                                                                            red_concrete[]                                                                            red_concrete[]                                                                            red_concrete[]                                                                            red_concrete[]                                                                            red_concrete[]                                                                            red_concrete[]                                                                            red_concrete[]                                                                            red_concrete[]                                                                            air[]                                                                                     air[]                                                                                     

air[]                                                                                     air[]                                                                                     air[]                                                                                     red_concrete[]                                                                            air[]                                                                                     air[]                                                                                     air[]                                                                                     air[]                                                                                     air[]                                                                                     air[]                                                                                     red_concrete[]                                                                            air[]                                                                                     air[]                                                                                     air[]                                                                                     

air[]                                                                                     air[]                                                                                     air[]                                                                                     red_concrete[]                                                                            air[]                                                                                     air[]                                                                                     air[]                                                                                     air[]                                                                                     air[]                                                                                     air[]                                                                                     red_concrete[]                                                                            air[]                                                                                     air[]                                                                                     air[]                                                                                     

air[]                                                                                     air[]                                                                                     air[]                                                                                     red_concrete[]                                                                            air[]                                                                                     air[]                                                                                     air[]                                                                                     air[]                                                                                     air[]                                                                                     air[]                                                                                     red_concrete[]                                                                            air[]                                                                                     air[]                                                                                     red_sandstone_slab[waterlogged=false,type=top,]                                           

air[]                                                                                     air[]                                                                                     air[]                                                                                     red_concrete[]                                                                            air[]                                                                                     air[]                                                                                     air[]                                                                                     air[]                                                                                     air[]                                                                                     air[]                                                                                     red_concrete[]                                                                            air[]                                                                                     air[]                                                                                     air[]                                                                                     

air[]                                                                                     air[]                                                                                     air[]                                                                                     red_concrete[]                                                                            air[]                                                                                     air[]                                                                                     air[]                                                                                     air[]                                                                                     air[]                                                                                     air[]                                                                                     red_concrete[]                                                                            air[]                                                                                     air[]                                                                                     air[]                                                                                     

air[]                                                                                     air[]                                                                                     air[]                                                                                     red_concrete[]                                                                            air[]                                                                                     air[]                                                                                     air[]                                                                                     air[]                                                                                     air[]                                                                                     air[]                                                                                     red_concrete[]                                                                            air[]                                                                                     air[]                                                                                     air[]                                                                                     

air[]                                                                                     air[]                                                                                     air[]                                                                                     black_concrete[]                                                                          air[]                                                                                     air[]                                                                                     air[]                                                                                     air[]                                                                                     air[]                                                                                     air[]                                                                                     black_concrete[]                                                                          air[]                                                                                     air[]                                                                                     air[]                                                                                     

